ID,Name,Gene Name,GenBank Protein ID,GenBank Gene ID,UniProt ID,Uniprot Title,PDB ID,GeneCard ID,GenAtlas ID,HGNC ID,Species,Drug IDs
P00519,Tyrosine-protein kinase ABL1,ABL1,28237,X16416,P00519,ABL1_HUMAN,1AB2; 1ABL; 1AWO; 1BBZ; 1JU5; 1OPL; 1ZZP; 2ABL; 2E2B; 2F4J; 2FO0; 2G1T; 2G2F; 2G2H; 2G2I; 2GQG; 2HIW; 2HYY; 2HZ0; 2HZ4; 2HZI; 2O88; 2V7A; 3CS9; 3EG0; 3EG1; 3EG2; 3EG3; 3EGU; 3K2M; 3PYY; 3QRI; 3QRJ; 3QRK; 3T04; 3UE4; 3UYO; 4J9B; 4J9C; 4J9D; 4J9E; 4J9F; 4J9G; 4J9H; 4J9I; 4JJB; 4JJC; 4JJD; 4TWP; 4WA9; 4XEY,,ABL1,HGNC:76,Human,DB00171; DB00619; DB01254; DB03878; DB04868; DB05184; DB06616; DB07831; DB08043; DB08231; DB08339; DB08350; DB08583; DB08896; DB08901
P12319,High affinity immunoglobulin epsilon receptor subunit alpha,FCER1A,31318,X06948,P12319,FCERA_HUMAN,1ALS; 1ALT; 1F2Q; 1F6A; 1J86; 1J87; 1J88; 1J89; 1RPQ; 2Y7Q,,FCER1A,HGNC:3609,Human,DB00043; DB00895; DB05797
P00451,Coagulation factor VIII,F8,182818,M14113,P00451,FA8_HUMAN,1CFG; 1D7P; 1FAC; 1IQD; 2R7E; 3CDZ; 3HNB; 3HNY; 3HOB; 3J2Q; 3J2S; 4BDV; 4KI5; 4PT6,,F8,HGNC:3546,Human,DB00055; DB00100
P23219,Prostaglandin G/H synthase 1,PTGS1,387018,M31822,P23219,PGH1_HUMAN,,,PTGS1,HGNC:9604,Human,DB00154; DB00159; DB00244; DB00316; DB00328; DB00350; DB00461; DB00465; DB00469; DB00500; DB00554; DB00573; DB00586; DB00605; DB00711; DB00712; DB00749; DB00784; DB00788; DB00795; DB00812; DB00814; DB00821; DB00861; DB00870; DB00936; DB00939; DB00945; DB00963; DB00991; DB01009; DB01014; DB01050; DB01283; DB01397; DB01399; DB01401; DB01419; DB01435; DB01600; DB01837; DB01892; DB02047; DB02110; DB02198; DB02266; DB02379; DB02709; DB02773; DB03667; DB03752; DB03753; DB03783; DB04552; DB04557; DB04817; DB05822; DB06725; DB06802; DB07981; DB07983; DB07984; DB08814
P35626,Beta-adrenergic receptor kinase 2,ADRBK2,312395,X69117,P35626,ARBK2_HUMAN,,,ADRBK2,HGNC:290,Human,DB00171
P21728,D(1A) dopamine receptor,DRD1,30397,X55760,P21728,DRD1_HUMAN,1OZ5,,DRD1,HGNC:3020,Human,DB00246; DB00248; DB00268; DB00334; DB00353; DB00363; DB00372; DB00397; DB00408; DB00413; DB00420; DB00477; DB00502; DB00508; DB00543; DB00589; DB00623; DB00679; DB00714; DB00734; DB00777; DB00800; DB00805; DB00850; DB00875; DB00988; DB01038; DB01049; DB01063; DB01186; DB01200; DB01224; DB01235; DB01238; DB01239; DB01267; DB01403; DB01608; DB01614; DB01621; DB01622; DB01623; DB01624; DB04946; DB05271; DB05816; DB06216
Q9BZW2,Solute carrier family 13 member 1,SLC13A1,12620132,AF260824,Q9BZW2,S13A1_HUMAN,,,SLC13A1,HGNC:10916,Human,DB00139
P35916,Vascular endothelial growth factor receptor 3,FLT4,297050,X69878,P35916,VGFR3_HUMAN,4BSJ; 4BSK,,FLT4,HGNC:3767,Human,DB00398; DB01268; DB04879; DB05075; DB06080; DB06101; DB06589; DB06626; DB08896; DB09078; DB09079
P51168,Amiloride-sensitive sodium channel subunit beta,SCNN1B,1004271,X87159,P51168,SCNNB_HUMAN,,,SCNN1B,HGNC:10600,Human,DB00384; DB00594
P02452,Collagen alpha-1(I) chain,COL1A1,1418928,Z74615,P02452,CO1A1_HUMAN,1Q7D; 2LLP; 3EJH; 3GXE,,COL1A1,HGNC:2197,Human,DB00048; DB04866
Q9H4B7,Tubulin beta-1 chain,TUBB1,11230445,AJ292757,Q9H4B7,TBB1_HUMAN,,,TUBB1,HGNC:16257,Human,DB00309; DB01229; DB01248; DB01394; DB01873; DB03010; DB04940; DB05147; DB06042; DB06772
P56181,"NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial",NDUFV3,6002197,X99726,P56181,NDUV3_HUMAN,,,NDUFV3,HGNC:7719,Human,DB00157
O95363,"Phenylalanine--tRNA ligase, mitochondrial",FARS2,3983103,AF097441,O95363,SYFM_HUMAN,3CMQ; 3HFV; 3TEG; 3TUP,,FARS2,HGNC:21062,Human,DB00120
P17948,Vascular endothelial growth factor receptor 1,FLT1,31432,X51602,P17948,VGFR1_HUMAN,1FLT; 1QSV; 1QSZ; 1QTY; 1RV6; 2XAC; 3HNG; 4CKV; 4CL7,,FLT1,HGNC:3763,Human,DB00398; DB01268; DB04879; DB05075; DB05913; DB06080; DB06101; DB06589; DB06626; DB07288; DB08896; DB09078; DB09079
Q9UPY5,Cystine/glutamate transporter,SLC7A11,5668545,AB026891,Q9UPY5,XCT_HUMAN,,,SLC7A11,HGNC:11059,Human,DB00138; DB00142; DB00740; DB00795; DB06151
Q9UBM7,7-dehydrocholesterol reductase,DHCR7,4191398,AF096305,Q9UBM7,DHCR7_HUMAN,,,DHCR7,HGNC:2860,Human,DB00157
Q9BTZ2,Dehydrogenase/reductase SDR family member 4,DHRS4,4105190,AF044127,Q9BTZ2,DHRS4_HUMAN,3O4R,,DHRS4,HGNC:16985,Human,DB00162
P06213,Insulin receptor,INSR,307070,M10051,P06213,INSR_HUMAN,1GAG; 1I44; 1IR3; 1IRK; 1P14; 1RQQ; 2AUH; 2B4S; 2DTG; 2HR7; 2MFR; 2Z8C; 3BU3; 3BU5; 3BU6; 3EKK; 3EKN; 3ETA; 3LOH; 3W11; 3W12; 3W13; 3W14; 4IBM; 4OGA; 4XLV; 4XSS; 4XST; 5E1S,,INSR,HGNC:6091,Human,DB00030; DB00046; DB00047; DB00071; DB01277; DB01306; DB01307; DB01309; DB03909; DB05115; DB05120; DB08513
O60931,Cystinosin,CTNS,3036851,Y15924,O60931,CTNS_HUMAN,,,CTNS,HGNC:2518,Human,DB00138
P04049,RAF proto-oncogene serine/threonine-protein kinase,RAF1,35842,X03484,P04049,RAF1_HUMAN,1C1Y; 1FAQ; 1FAR; 1GUA; 1RFA; 3CU8; 3IQJ; 3IQU; 3IQV; 3KUC; 3KUD; 3NKX; 3O8I; 3OMV; 4FJ3; 4G0N; 4G3X; 4IEA; 4IHL,,RAF1,HGNC:9829,Human,DB00398; DB04973; DB05190; DB05268; DB08896; DB08912
O00217,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",NDUFS8,1935056,U65579,O00217,NDUS8_HUMAN,,,NDUFS8,HGNC:7715,Human,DB00157
Q9Y285,Phenylalanine--tRNA ligase alpha subunit,FARSA,2102679,U07424,Q9Y285,SYFA_HUMAN,3L4G,,FARSLA,HGNC:3592,Human,DB00120
Q9Y234,"Lipoyltransferase 1, mitochondrial",LIPT1,4586380,AB017566,Q9Y234,LIPT_HUMAN,,,LIPT1,HGNC:29569,Human,DB00166
P12259,Coagulation factor V,F5,182412,M16967,P12259,FA5_HUMAN,1CZS; 1CZT; 1CZV; 1FV4; 1Y61; 3P6Z; 3P70; 3S9C,,F5,HGNC:3542,Human,DB00055; DB05777
O00764,Pyridoxal kinase,PDXK,1946349,U89606,O00764,PDXK_HUMAN,2AJP; 2F7K; 2YXT; 2YXU; 3FHX; 3FHY; 3KEU; 4EN4; 4EOH,,PDXK,HGNC:8819,Human,DB00147; DB00165; DB03909; DB04770; DB04776
P24530,Endothelin B receptor,EDNRB,182276,M74921,P24530,EDNRB_HUMAN,,,EDNRB,HGNC:3180,Human,DB00559; DB06268; DB06403; DB08932
Q15738,"Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating",NSDHL,4457237,U47105,Q15738,NSDHL_HUMAN,,,NSDHL,HGNC:13398,Human,DB00157
P20309,Muscarinic acetylcholine receptor M3,CHRM3,32324,X15266,P20309,ACM3_HUMAN,2CSA,,CHRM3,HGNC:1952,Human,DB00185; DB00193; DB00202; DB00246; DB00280; DB00321; DB00332; DB00334; DB00340; DB00342; DB00363; DB00376; DB00383; DB00387; DB00408; DB00420; DB00424; DB00434; DB00458; DB00462; DB00477; DB00496; DB00505; DB00517; DB00540; DB00572; DB00622; DB00715; DB00725; DB00729; DB00747; DB00767; DB00777; DB00785; DB00809; DB00835; DB00934; DB00986; DB01036; DB01062; DB01069; DB01085; DB01142; DB01151; DB01224; DB01226; DB01231; DB01238; DB01239; DB01337; DB01338; DB01403; DB01409; DB01591; DB01625; DB04843; DB04924; DB05752; DB06702; DB06709; DB08897; DB09076
P30613,Pyruvate kinase PKLR,PKLR,3327365,AB015983,P30613,KPYR_HUMAN,2VGB; 2VGF; 2VGG; 2VGI; 4IMA; 4IP7,,PKLR,HGNC:9020,Human,DB00119; DB02726; DB04551
Q9H2X9,Solute carrier family 12 member 5,SLC12A5,12003227,AF208159,Q9H2X9,S12A5_HUMAN,,,SLC12A5,HGNC:13818,Human,DB00761; DB00887
P00734,Prothrombin,F2,339641,M17262,P00734,THRB_HUMAN,1A2C; 1A3B; 1A3E; 1A46; 1A4W; 1A5G; 1A61; 1ABI; 1ABJ; 1AD8; 1AE8; 1AFE; 1AHT; 1AI8; 1AIX; 1AWF; 1AWH; 1AY6; 1B5G; 1B7X; 1BA8; 1BB0; 1BCU; 1BHX; 1BMM; 1BMN; 1BTH; 1C1U; 1C1V; 1C1W; 1C4U; 1C4V; 1C4Y; 1C5L; 1C5N; 1C5O; 1CA8; 1D3D; 1D3P; 1D3Q; 1D3T; 1D4P; 1D6W; 1D9I; 1DE7; 1DIT; 1DM4; 1DOJ; 1DWB; 1DWC; 1DWD; 1DWE; 1DX5; 1E0F; 1EB1; 1EOJ; 1EOL; 1FPC; 1FPH; 1G30; 1G32; 1G37; 1GHV; 1GHW; 1GHX; 1GHY; 1GJ4; 1GJ5; 1H8D; 1H8I; 1HAG; 1HAH; 1HAI; 1HAO; 1HAP; 1HBT; 1HDT; 1HGT; 1HLT; 1HUT; 1HXE; 1HXF; 1IHS; 1IHT; 1JMO; 1JOU; 1JWT; 1K21; 1K22; 1KTS; 1KTT; 1LHC; 1LHD; 1LHE; 1LHF; 1LHG; 1MH0; 1MU6; 1MU8; 1MUE; 1NM6; 1NO9; 1NRN; 1NRO; 1NRP; 1NRQ; 1NRR; 1NRS; 1NT1; 1NU7; 1NU9; 1NY2; 1NZQ; 1O0D; 1O2G; 1O5G; 1OOK; 1OYT; 1P8V; 1PPB; 1QBV; 1QHR; 1QJ1; 1QJ6; 1QJ7; 1QUR; 1RD3; 1RIW; 1SB1; 1SFQ; 1SG8; 1SGI; 1SHH; 1SL3; 1SR5; 1T4U; 1T4V; 1TA2; 1TA6; 1TB6; 1TBZ; 1THP; 1THR; 1THS; 1TMB; 1TMT; 1TMU; 1TOM; 1TQ0; 1TQ7; 1TWX; 1UMA; 1UVS; 1VR1; 1VZQ; 1W7G; 1WAY; 1WBG; 1XM1; 1XMN; 1YPE; 1YPG; 1YPJ; 1YPK; 1YPL; 1YPM; 1Z71; 1Z8I; 1Z8J; 1ZGI; 1ZGV; 1ZRB; 2A0Q; 2A2X; 2A45; 2AFQ; 2ANK; 2ANM; 2B5T; 2BDY; 2BVR; 2BVS; 2BVX; 2BXT; 2BXU; 2C8W; 2C8X; 2C8Y; 2C8Z; 2C90; 2C93; 2CF8; 2CF9; 2CN0; 2FEQ; 2FES; 2GDE; 2GP9; 2H9T; 2HGT; 2HNT; 2HPP; 2HPQ; 2HWL; 2JH0; 2JH5; 2JH6; 2OD3; 2PGB; 2PGQ; 2PKS; 2PW8; 2R2M; 2THF; 2UUF; 2UUJ; 2UUK; 2V3H; 2V3O; 2ZC9; 2ZDA; 2ZDV; 2ZF0; 2ZFF; 2ZFP; 2ZFQ; 2ZFR; 2ZG0; 2ZGB; 2ZGX; 2ZHE; 2ZHF; 2ZHQ; 2ZHW; 2ZI2; 2ZIQ; 2ZNK; 2ZO3; 3B23; 3B9F; 3BEF; 3BEI; 3BF6; 3BIU; 3BIV; 3BV9; 3C1K; 3C27; 3D49; 3DA9; 3DD2; 3DHK; 3DT0; 3DUX; 3E6P; 3EE0; 3EGK; 3EQ0; 3F68; 3GIC; 3GIS; 3HAT; 3HKJ; 3HTC; 3JZ1; 3JZ2; 3K65; 3LDX; 3LU9; 3NXP; 3P17; 3P6Z; 3P70; 3PMH; 3PO1; 3QDZ; 3QGN; 3QLP; 3QTO; 3QTV; 3QWC; 3QX5; 3R3G; 3RLW; 3RLY; 3RM0; 3RM2; 3RML; 3RMM; 3RMN; 3RMO; 3S7H; 3S7K; 3SHA; 3SHC; 3SI3; 3SI4; 3SQE; 3SQH; 3SV2; 3T5F; 3TU7; 3U69; 3U8O; 3U8R; 3U8T; 3U98; 3U9A; 3UTU; 3UWJ; 3VXE; 3VXF; 4AX9; 4AYV; 4AYY; 4AZ2; 4BAH; 4BAK; 4BAM; 4BAN; 4BAO; 4BAQ; 4BOH; 4CH2; 4CH8; 4DIH; 4DII; 4DT7; 4DY7; 4E05; 4E06; 4E7R; 4H6S; 4H6T; 4HFP; 4HTC; 4HZH; 4I7Y; 4LOY; 4LXB; 4LZ1; 4LZ4; 4MLF; 4N3L; 4NZE; 4NZQ; 4O03; 4RKJ; 4RKO; 4RN6; 4THN; 4UD9; 4UDW; 4UE7; 4UEH; 4YES; 5AF9; 5AFY; 5AFZ; 5AHG; 5E8E; 5GDS; 7KME; 8KME,,F2,HGNC:3535,Human,DB00001; DB00006; DB00055; DB00100; DB00170; DB00278; DB01123; DB01766; DB01767; DB02193; DB02351; DB02723; DB03136; DB03159; DB03847; DB03865; DB04136; DB04591; DB04697; DB04722; DB04771; DB04772; DB04786; DB04898; DB05777; DB06695; DB06838; DB06841; DB06845; DB06850; DB06853; DB06854; DB06858; DB06859; DB06861; DB06865; DB06866; DB06868; DB06869; DB06878; DB06911; DB06919; DB06929; DB06936; DB06942; DB06947; DB06996; DB07005; DB07016; DB07027; DB07083; DB07088; DB07091; DB07095; DB07105; DB07120; DB07128; DB07131; DB07133; DB07143; DB07165; DB07190; DB07211; DB07277; DB07278; DB07279; DB07353; DB07366; DB07376; DB07400; DB07440; DB07461; DB07508; DB07515; DB07521; DB07522; DB07527; DB07548; DB07549; DB07550; DB07639; DB07658; DB07659; DB07660; DB07665; DB07718; DB07741; DB07796; DB07809; DB07897; DB07934; DB07944; DB07946; DB08061; DB08062; DB08152; DB08187; DB08254; DB08422; DB08546; DB08624
P30273,High affinity immunoglobulin epsilon receptor subunit gamma,FCER1G,182488,M33195,P30273,FCERG_HUMAN,,,FCER1G,HGNC:3611,Human,DB00895
P13716,Delta-aminolevulinic acid dehydratase,ALAD,178329,M13928,P13716,HEM2_HUMAN,1E51; 1PV8,,ALAD,HGNC:395,Human,DB00855; DB02068; DB02239; DB02260; DB02272; DB02878; DB04560; DB04781
P14060,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1,HSD3B1,306889,M27137,P14060,3BHS1_HUMAN,,,HSD3B1,HGNC:5217,Human,DB00157; DB01108; DB01536
O43246,Cationic amino acid transporter 4,SLC7A4,4378940,AJ000730,O43246,CTR4_HUMAN,,,SLC7A4,HGNC:11062,Human,DB00123; DB00125; DB00129
P48167,Glycine receptor subunit beta,GLRB,992687,U33267,P48167,GLRB_HUMAN,,,GLRB,HGNC:4329,Human,DB00145; DB00431
P14780,Matrix metalloproteinase-9,MMP9,177205,J05070,P14780,MMP9_HUMAN,1GKC; 1GKD; 1ITV; 1L6J; 1LKG; 2OVX; 2OVZ; 2OW0; 2OW1; 2OW2; 4H1Q; 4H2E; 4H3X; 4H82; 4HMA; 4JIJ; 4JQG; 4WZV; 4XCT,,MMP9,HGNC:7176,Human,DB00786; DB01017; DB01197; DB01296; DB01949; DB03683; DB05387; DB05495; DB07117; DB07246; DB07285
P26439,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 2,HSD3B2,184401,M67466,P26439,3BHS2_HUMAN,,,HSD3B2,HGNC:5218,Human,DB00157; DB01108
P13674,Prolyl 4-hydroxylase subunit alpha-1,P4HA1,190786,M24486,P13674,P4HA1_HUMAN,1TJC; 2V5F; 2YQ8; 4BT8; 4BT9; 4BTA; 4BTB,,P4HA1,HGNC:8546,Human,DB00126; DB00139; DB00172; DB01275
P21554,Cannabinoid receptor 1,CNR1,29915,X54937,P21554,CNR1_HUMAN,1LVQ; 1LVR; 2B0Y; 2KOE,,CNR1,HGNC:2159,Human,DB00470; DB00486; DB05077; DB05201; DB05372; DB05750; DB06155
P30556,Type-1 angiotensin II receptor,AGTR1,179122,M91464,P30556,AGTR1_HUMAN,1ZV0; 4YAY; 4ZUD,,AGTR1,HGNC:336,Human,DB00177; DB00275; DB00678; DB00796; DB00876; DB00966; DB01029; DB01342; DB01347; DB01349; DB05739; DB08822
P49591,"Serine--tRNA ligase, cytoplasmic",SARS,1050527,X91257,P49591,SYSC_HUMAN,3VBB; 4L87; 4RQE; 4RQF,,SARS,HGNC:10537,Human,DB00133
P34995,Prostaglandin E2 receptor EP1 subtype,PTGER1,410209,L22647,P34995,PE2R1_HUMAN,,,PTGER1,HGNC:9593,Human,DB00297; DB00429; DB00770; DB00905; DB00917; DB01088
P10515,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial",DLAT,35360,Y00978,P10515,ODP2_HUMAN,1FYC; 1Y8N; 1Y8O; 1Y8P; 2DNE; 2PNR; 2Q8I; 3B8K; 3CRK; 3CRL,,DLAT,HGNC:2896,Human,DB00157; DB03758; DB03760
P11836,B-lymphocyte antigen CD20,MS4A1,29774,X12530,P11836,CD20_HUMAN,1S8B; 2OSL; 3BKY; 3PP4,,MS4A1,HGNC:7315,Human,DB00073; DB00078; DB00081; DB06650; DB08935
P29475,"Nitric oxide synthase, brain",NOS1,642526,U17327,P29475,NOS1_HUMAN,4D1N; 4UCH; 4UH5; 4UH6; 4V3U; 5ADF; 5ADG; 5ADI,,NOS1,HGNC:7872,Human,DB00155; DB01821; DB01942; DB01997; DB02027; DB02044; DB02077; DB02143; DB02644; DB02692; DB02727; DB02991; DB03144; DB03147; DB03247; DB03449; DB03461; DB03707; DB03710; DB03892; DB04223; DB06096; DB08018; DB08019
P07195,L-lactate dehydrogenase B chain,LDHB,1200083,X13794,P07195,LDHB_HUMAN,1I0Z; 1T2F,,LDHB,HGNC:6541,Human,DB00157; DB02401; DB03940
P24752,"Acetyl-CoA acetyltransferase, mitochondrial",ACAT1,219918,D90228,P24752,THIL_HUMAN,2F2S; 2IB7; 2IB8; 2IB9; 2IBU; 2IBW; 2IBY,,ACAT1,HGNC:93,Human,DB00795
Q07869,Peroxisome proliferator-activated receptor alpha,PPARA,307341,L02932,Q07869,PPARA_HUMAN,1I7G; 1K7L; 1KKQ; 2NPA; 2P54; 2REW; 2ZNN; 3ET1; 3FEI; 3G8I; 3KDT; 3KDU; 3SP6; 3VI8; 4BCR; 4CI4,,PPARA,HGNC:9232,Human,DB00328; DB00636; DB01039; DB01241; DB01393; DB01708; DB01890; DB04971; DB05187; DB07215; DB07724; DB08915
Q9HCC0,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial",MCCC2,10934059,AB050049,Q9HCC0,MCCB_HUMAN,,,MCCC2,HGNC:6937,Human,DB00121
Q9UDR5,"Alpha-aminoadipic semialdehyde synthase, mitochondrial",AASS,7264724,AF229180,Q9UDR5,AASS_HUMAN,,,AASS,HGNC:17366,Human,DB00142; DB00157; DB02338; DB04207
P51843,Nuclear receptor subfamily 0 group B member 1,NR0B1,786532,U31929,P51843,NR0B1_HUMAN,4RWV,,NR0B1,HGNC:7960,Human,DB00755; DB01234
P10912,Growth hormone receptor,GHR,31738,X06562,P10912,GHR_HUMAN,1A22; 1AXI; 1HWG; 1HWH; 1KF9; 2AEW; 3HHR,,GHR,HGNC:4263,Human,DB00052; DB00082
Q9UDX3,SEC14-like protein 4,SEC14L4,27803380,AY158085,Q9UDX3,S14L4_HUMAN,4TLG,,SEC14L4,HGNC:20627,Human,DB00163
P00492,Hypoxanthine-guanine phosphoribosyltransferase,HPRT1,306885,M31642,P00492,HPRT_HUMAN,1BZY; 1D6N; 1HMP; 1Z7G; 2VFA; 3GEP; 3GGC; 3GGJ; 4IJQ; 4KN6; 4RAB; 4RAC; 4RAD; 4RAN; 4RAO; 4RAQ; 5BRN; 5BSK,,HPRT1,HGNC:5157,Human,DB00993; DB01033; DB01632; DB02309; DB03153; DB04356
P28702,Retinoic acid receptor RXR-beta,RXRB,30448,X63522,P28702,RXRB_HUMAN,1H9U; 1UHL,,RXRB,HGNC:10478,Human,DB00210; DB00307; DB00459; DB00523; DB00755; DB00799; DB00926; DB01941; DB07080; DB07929; DB08175
Q9Y600,Cysteine sulfinic acid decarboxylase,CSAD,4894558,AF116546,Q9Y600,CSAD_HUMAN,2JIS,,CSAD,HGNC:18966,Human,DB00114; DB00151
O95299,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",NDUFA10,4191348,AF087661,O95299,NDUAA_HUMAN,,,NDUFA10,HGNC:7684,Human,DB00157
P12277,Creatine kinase B-type,CKB,180572,M16451,P12277,KCRB_HUMAN,3B6R; 3DRB; 3DRE,,CKB,HGNC:1991,Human,DB00148
P31358,CAMPATH-1 antigen,CD52,29646,X62466,P31358,CD52_HUMAN,,,CD52,HGNC:1804,Human,DB00087
Q13639,5-hydroxytryptamine receptor 4,HTR4,2661757,Y12505,Q13639,5HT4R_HUMAN,,,HTR4,HGNC:5299,Human,DB00604; DB00904; DB01079; DB01233; DB04873; DB04917; DB05655; DB05905; DB06480; DB08810
P02792,Ferritin light chain,FTL,182514,M11147,P02792,FRIL_HUMAN,2FFX; 2FG4; 2FG8; 3KXU; 4V6B,,FTL,HGNC:3999,Human,DB00893; DB02285
P42357,Histidine ammonia-lyase,HAL,451210,D16626,P42357,HUTH_HUMAN,,,HAL,HGNC:4806,Human,DB00117
Q02809,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",PLOD1,190074,L06419,Q02809,PLOD1_HUMAN,,,PLOD1,HGNC:9081,Human,DB00126; DB00139
P14618,Pyruvate kinase PKM,PKM,189998,M23725,P14618,KPYM_HUMAN,1T5A; 1ZJH; 3BJF; 3BJT; 3G2G; 3GQY; 3GR4; 3H6O; 3ME3; 3SRD; 3SRF; 3SRH; 3U2Z; 4B2D; 4FXF; 4FXJ; 4G1N; 4JPG; 4QG6; 4QG8; 4QG9; 4QGC; 4RPP; 4WJ8,,PKM2,HGNC:9021,Human,DB00119; DB01733; DB02726; DB07628; DB07692; DB07697
O43920,NADH dehydrogenase [ubiquinone] iron-sulfur protein 5,NDUFS5,2911482,AF047434,O43920,NDUS5_HUMAN,,,NDUFS5,HGNC:7712,Human,DB00157
Q12809,Potassium voltage-gated channel subfamily H member 2,KCNH2,487738,U04270,Q12809,KCNH2_HUMAN,1BYW; 1UJL; 2L0W; 2L1M; 2L4R; 2LE7; 4HP9; 4HQA,,KCNH2,HGNC:6251,Human,DB00199; DB00204; DB00276; DB00308; DB00342; DB00346; DB00457; DB00458; DB00477; DB00489; DB00537; DB00590; DB00604; DB00637; DB00661; DB00679; DB00908; DB01100; DB01110; DB01118; DB01136; DB01142; DB01162; DB01182; DB01211; DB01218; DB04855; DB04957; DB06144
Q969P6,"DNA topoisomerase I, mitochondrial",TOP1MT,15919359,AF349031,Q969P6,TOP1M_HUMAN,,,TOP1MT,HGNC:29787,Human,DB00762; DB01030
